<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.04.25	7.080	7.160	7.060	7.060	7387	371475	5
2019.04.26	7.070	7.120	7.060	7.120	6343	294870	5
2019.04.29	7.090	7.160	7.080	7.160	4709	189806	5
2019.04.30	7.130	7.180	7.110	7.120	5404	245420	5
2019.05.02	7.150	7.180	7.130	7.130	3614	201577	5
2019.05.03	7.120	7.120	7.040	7.050	5113	321940	5
2019.05.06	7.100	7.100	7.020	7.040	3489	228445	5
2019.05.07	7.040	7.080	7.020	7.030	5410	341170	5
2019.05.08	7.030	7.030	6.970	7.000	3751	289152	5
2019.05.09	6.970	6.970	6.910	6.910	9819	628465	5
2019.05.10	6.880	6.900	6.860	6.890	6110	317657	5
2019.05.13	6.910	6.960	6.900	6.950	4729	205505	5
2019.05.14	6.940	6.950	6.820	6.840	8406	459973	5
2019.05.15	6.850	6.930	6.810	6.880	8379	464424	5
2019.05.16	6.880	6.940	6.850	6.940	5973	294624	5
2019.05.17	6.960	7.060	6.930	6.990	9803	436735	5
2019.05.20	7.000	7.060	6.950	6.950	6345	261830	5
2019.05.21	6.950	6.960	6.850	6.860	4605	278385	5
2019.05.22	6.860	6.880	6.810	6.860	4055	254990	5
2019.05.23	6.870	6.880	6.770	6.780	5210	409970	5
2019.05.24	6.750	6.810	6.750	6.800	4830	317295	5
2019.05.27	6.780	6.790	6.720	6.750	1678	170185	5
2019.05.28	6.750	6.750	6.590	6.610	8582	507320	5
2019.05.29	6.640	6.660	6.570	6.580	6395	391405	5
2019.05.30	6.580	6.650	6.500	6.540	8796	450135	5
2019.05.31	6.560	6.570	6.470	6.490	5343	339565	5
2019.06.03	6.510	6.510	6.350	6.400	8029	516415	5
2019.06.04	6.410	6.480	6.350	6.400	8257	431575	5
2019.06.05	6.400	6.480	6.340	6.470	5824	410200	5
2019.06.06	6.450	6.460	6.370	6.390	6281	368400	5
2019.06.07	6.350	6.360	6.250	6.270	6163	424220	5
2019.06.10	6.300	6.310	6.170	6.260	4275	288775	5
2019.06.11	6.250	6.250	6.130	6.170	6593	444065	5
2019.06.12	6.170	6.200	6.140	6.190	6260	352155	5
2019.06.13	6.150	6.150	6.030	6.040	7926	442605	5
2019.06.14	6.030	6.090	5.940	5.990	14119	683650	5
2019.06.17	5.980	6.060	5.950	6.010	3821	252915	5
2019.06.18	5.950	6.050	5.920	6.050	7341	336005	5
2019.06.19	6.040	6.120	5.990	5.990	7603	483740	5
2019.06.21	5.840	5.880	5.830	5.860	16975	828415	5
2019.06.24	5.840	5.900	5.840	5.870	3781	263490	5
2019.06.25	5.920	6.010	5.880	5.960	13662	634910	5
2019.06.26	5.940	6.030	5.930	5.980	7406	392865	5
2019.06.27	6.000	6.060	5.900	5.910	10400	589980	5
2019.06.28	5.910	5.920	5.850	5.880	6565	434395	5
2019.07.01	5.850	5.850	5.780	5.810	10724	396210	5
2019.07.02	5.810	5.920	5.790	5.840	14232	429245	5
2019.07.03	5.900	5.910	5.780	5.800	10628	449805	5
2019.07.04	5.750	5.750	5.680	5.680	5703	446625	5
2019.07.05	5.670	5.720	5.640	5.650	4746	312245	5
2019.07.08	5.650	5.660	5.610	5.630	2903	179760	5
2019.07.10	5.540	5.600	5.530	5.600	6433	564165	5
2019.07.11	5.560	5.640	5.540	5.570	6371	587800	5
2019.07.12	5.570	5.610	5.530	5.600	4597	363965	5
2019.07.15	5.590	5.610	5.540	5.570	4833	278280	5
2019.07.16	5.560	5.590	5.540	5.580	2869	205895	5
2019.07.17	5.570	5.600	5.560	5.570	3506	229045	5
