<DATE>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<TICKVOL>;<VOL>;<SPREAD>
2019.06.03;97000;97890;96530;97245;1673248;6271324;5
2019.06.04;97565;98035;96670;97715;1859429;6753653;5
2019.06.05;97935;97985;95725;96395;1796378;6843605;5
2019.06.06;96600;97570;96165;96895;1724081;6406002;5
2019.06.07;97400;98465;97215;98020;1532259;5603194;5
2019.06.10;97500;97925;96805;97225;1606714;6152253;5
2019.06.11;97715;99115;97715;99115;1635741;6052727;5
2019.06.12;99600;100290;98810;99490;1828452;6179822;5
2019.06.13;99950;100420;99465;100015;1543398;6056427;5
2019.06.14;99555;99985;98460;98635;1542200;6070576;5
2019.06.17;98615;99375;98500;98600;1473224;6057701;5
2019.06.18;99280;100515;99195;100515;1248668;5000329;5
2019.06.19;100300;101430;99865;101390;1514993;5825658;5
2019.06.21;101800;103035;101775;102905;1282703;4946707;5
2019.06.24;102940;103545;102460;102990;1386458;5350278;5
2019.06.25;102740;102845;100500;100510;1679987;6546574;5
2019.06.26;101490;101985;100910;101370;1725282;6064343;5
2019.06.27;101105;101850;100100;101445;1548172;6055135;5
2019.06.28;101800;102435;101230;101390;1534425;5747486;5
2019.07.01;102810;103240;101855;102160;1597226;5867714;5
2019.07.02;102010;102350;100560;101200;1923834;7536126;5
2019.07.03;101250;102925;100380;102670;1720950;6602482;5
2019.07.04;102790;104730;102790;104100;1251143;5075503;5
2019.07.05;104355;104900;103290;104900;1394055;5554563;5
2019.07.08;104500;105365;104375;105290;1365624;5405960;5
2019.07.10;106075;107295;105820;106205;1512826;6363730;5
2019.07.11;106950;107165;105335;105665;1684293;6528198;5
2019.07.12;105650;106230;104150;104495;1832652;7403535;5
2019.07.15;104900;105270;103965;104690;1675492;6609762;5
2019.07.16;104750;104960;103780;104365;1842450;7241212;5
2019.07.17;104450;104930;104150;104330;1668288;6689588;5
2019.07.18;104165;105375;104065;105375;1338335;5791761;5
2019.07.19;105500;105585;103665;103680;1422345;6259751;5
2019.07.22;104100;104725;103945;104465;1477194;5901777;5
2019.07.23;104625;104895;103815;104360;1544333;6333139;5
2019.07.24;104105;104970;104075;104250;1448180;5731156;5
2019.07.25;104595;104840;102655;102995;1682434;7713599;5
2019.07.26;103400;103640;102465;103090;1657106;6521326;5
2019.07.29;103390;103960;102720;103960;1500431;6017196;5
2019.07.30;103550;103850;102805;103200;1618837;6465826;5
2019.07.31;103450;103630;101080;102000;1966557;7810373;5
2019.08.01;102500;104285;101985;102035;2008056;8001529;5
2019.08.02;101600;103370;101430;102915;2049485;8092306;5
2019.08.05;101315;101425;99705;99970;2120178;7704104;5
2019.08.06;100990;102415;100780;102365;2032899;7451698;5
2019.08.07;102600;103105;100500;102870;2347662;8576434;5
2019.08.08;103245;104475;103150;104475;2230360;7920933;5
2019.08.09;103950;104930;103555;103950;2134312;7525413;5
