<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.07.01	102760	103240	101855	102150	23057	140115	5
2019.07.02	102040	102345	100570	101210	32343	193575	5
2019.07.03	101100	102920	100405	102675	21668	135695	5
2019.07.04	103100	104750	102795	104090	17668	110090	5
2019.07.05	104375	104880	103280	104860	19246	118585	5
2019.07.08	104515	105370	104390	105255	13315	87295	5
2019.07.10	106100	107295	105820	106230	23404	146735	5
2019.07.11	106850	107145	105330	105655	22529	144180	5
2019.07.12	105630	106225	104155	104470	24315	156510	5
2019.07.15	105000	105270	103965	104690	17105	112630	5
2019.07.16	104780	104965	103775	104335	19257	123135	5
2019.07.17	104405	104925	104135	104320	17707	113450	5
2019.07.18	104145	105335	104110	105335	15222	100045	5
2019.07.19	105495	105550	103660	103660	19683	122900	5
2019.07.22	104045	104730	103945	104450	16258	99585	5
2019.07.23	104615	104900	103805	104330	20082	128220	5
2019.07.24	104100	104965	104090	104230	18206	120980	5
2019.07.25	104640	104840	102655	102985	32097	199175	5
2019.07.26	103370	103630	102465	103085	20570	127000	5
2019.07.29	103315	103950	102715	103940	13073	78375	5
2019.07.30	103550	103850	102810	103200	18526	112215	5
2019.07.31	103375	103615	101080	101900	30607	190600	5
2019.08.01	102400	104275	102000	102000	35154	219270	5
2019.08.02	101610	103360	101435	102945	23584	148200	5
2019.08.05	101305	101415	99710	99960	32453	205935	5
2019.08.06	101050	102405	100965	102360	28105	177065	5
2019.08.07	102550	103100	100505	102870	32643	204880	5
2019.08.08	103300	104485	103040	104485	30763	196340	5
2019.08.09	103800	104930	103555	103930	22755	148035	5
2019.08.12	103000	103050	101570	101690	24010	153580	5
2019.08.13	101350	103840	101200	103545	31891	212960	5
2019.08.14	102815	103120	100820	100925	28419	185070	5
2019.08.15	101500	102070	98940	99880	32869	211810	5
2019.08.16	100800	101370	99870	100865	31357	199995	5
2019.08.19	101860	101885	99675	100180	23864	149390	5
2019.08.20	100170	100625	98560	99730	24651	155550	5
2019.08.21	100600	102265	100220	102150	25747	165670	5
2019.08.22	101935	102420	100620	100810	18860	116185	5
2019.08.23	101000	101005	97525	98395	35281	224690	5
2019.08.26	98890	99200	95620	95950	29004	187620	5
2019.08.27	96700	98615	96410	97830	41449	263290	5
2019.08.28	97300	99040	96905	98460	23241	147575	5
2019.08.29	99100	101590	99100	101550	25867	163495	5
2019.08.30	102000	102340	101360	102230	22594	142565	5
2019.09.02	102010	102270	101060	101375	12045	75800	5
2019.09.03	100870	102100	99905	100400	35860	222695	5
2019.09.04	101690	101850	100945	101595	18989	119660	5
